,endTime,artistName,trackName,msPlayed
795,2020-08-16 18:47,City of the Sun,What Took You So Long,264683
796,2020-08-16 18:52,City of the Sun,Ventura,281000
797,2020-08-16 18:52,City of the Sun,Razon,21619
798,2020-08-16 18:58,City of the Sun,Razon,225593
799,2020-08-16 19:02,City of the Sun,Perfect Instance,253061
800,2020-08-16 19:09,City of the Sun,Explosions,414000
801,2020-08-16 19:15,City of the Sun,Those Days Are Now,343020
802,2020-08-16 19:20,City of the Sun,No Walls In The West,269200
803,2020-08-16 19:24,City of the Sun,While We Are Young,233333
804,2020-08-16 19:27,City of the Sun,W. 16 St,228870
805,2020-08-16 19:35,City of the Sun,Imagination,421020
806,2020-08-16 19:42,City of the Sun,Second Sun,453053
807,2020-08-16 19:47,City of the Sun,Paco,292020
808,2020-08-16 19:53,City of the Sun,Barcelona,317933
809,2020-08-16 19:57,City of the Sun,Razon,261493
810,2020-08-16 20:02,City of the Sun,Someday,288040
811,2020-08-16 20:07,City of the Sun,For Ian,306613
812,2020-08-16 20:12,City of the Sun,Everything Everywhere Matters To Everything,261680
813,2020-08-16 20:17,City of the Sun,Alive,283800
814,2020-08-16 20:22,City of the Sun,Dreams,348586
815,2020-08-16 20:27,City of the Sun,La Luz,303120
816,2020-08-16 20:32,City of the Sun,Young Folks,284285
817,2020-08-17 14:01,JR JR,Same Dark Places,101668
818,2020-08-17 14:02,Mura Masa,helpline (feat. Tom Tripp),93492
819,2020-08-17 14:02,courtship.,Guy Stuff,2323
820,2020-08-19 07:18,Aquilo,I Could Fight On A Wall,210527
821,2020-08-19 07:24,Thomas Jack,Basic Instinct - Thomas Jack Remix,388000
822,2020-08-19 07:28,Jome,Mountains,218666
823,2020-08-19 07:34,Jome,Vapor,114665
824,2020-08-19 07:38,QRVZH,I Left My Head - Original Mix,248727
825,2020-08-19 07:42,Mandarin Plaza,I Need Your Love,194022
826,2020-08-19 07:46,Melih Aydogan,Ayo Technology,230005
827,2020-08-19 07:51,SK Austen,Faith - Sawyer Remix,328000
828,2020-08-19 08:42,SK Austen,Faith - HTMN Remix,187826
829,2020-08-19 08:45,SK Austen,Faith - Diligent Man Remix,175750
830,2020-08-19 08:50,SK Austen,Faith - Original Mix,275000
